frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len,_ws.col.protocol,_ws.col.info
37,Apr 21, 2024 13:13:04.851373000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=196609 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
38,Apr 21, 2024 13:13:04.851377000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [PSH, ACK] Seq=229377 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
39,Apr 21, 2024 13:13:04.851380000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=262145 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
40,Apr 21, 2024 13:13:04.851384000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [PSH, ACK] Seq=294913 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
41,Apr 21, 2024 13:13:04.851422000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=327681 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
42,Apr 21, 2024 13:13:04.851425000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [PSH, ACK] Seq=360449 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
43,Apr 21, 2024 13:13:04.851429000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=393217 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
44,Apr 21, 2024 13:13:04.851433000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [PSH, ACK] Seq=425985 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
45,Apr 21, 2024 13:13:04.851437000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,32834,TCP,1887 → 49997 [ACK] Seq=458753 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3719264110
46,Apr 21, 2024 13:13:04.852030000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,32834,TCP,1887 → 56173 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3718861640
47,Apr 21, 2024 13:13:04.852057000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,32834,TCP,1887 → 56173 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264110 TSecr=3718861640
48,Apr 21, 2024 13:13:04.852218000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=1 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264109
49,Apr 21, 2024 13:13:04.852246000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=65484 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264109
50,Apr 21, 2024 13:13:04.852273000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=130967 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264109
51,Apr 21, 2024 13:13:04.852300000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=196450 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264109
52,Apr 21, 2024 13:13:04.852328000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=261933 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264109
53,Apr 21, 2024 13:13:04.852355000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=327416 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264109
54,Apr 21, 2024 13:13:04.852383000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=392899 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264109
55,Apr 21, 2024 13:13:04.852406000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,41700,TCP,1887 → 54727 [PSH, ACK] Seq=458382 Ack=1 Win=512 Len=41634 TSval=3719264111 TSecr=3719264109
56,Apr 21, 2024 13:13:04.852494000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 49997 [ACK] Seq=500016 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264110
57,Apr 21, 2024 13:13:04.852524000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,1887 → 49997 [ACK] Seq=565499 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264110
58,Apr 21, 2024 13:13:04.852553000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,1887 → 49997 [ACK] Seq=630982 Ack=1 Win=512 Len=65483 TSval=3719264111 TSecr=3719264110
59,Apr 21, 2024 13:13:04.861347000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=229271 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
60,Apr 21, 2024 13:13:04.861406000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=294754 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
61,Apr 21, 2024 13:13:04.861441000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=360237 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
62,Apr 21, 2024 13:13:04.861553000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=425720 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
63,Apr 21, 2024 13:13:04.861753000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,[TCP Previous segment not captured] 53923 → 1887 [ACK] Seq=500016 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
64,Apr 21, 2024 13:13:04.861775000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3718849624
65,Apr 21, 2024 13:13:04.861805000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3718849624
66,Apr 21, 2024 13:13:04.861827000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=565499 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
67,Apr 21, 2024 13:13:04.861881000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=630982 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
68,Apr 21, 2024 13:13:04.861927000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=696465 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
69,Apr 21, 2024 13:13:04.861963000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=65537 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
70,Apr 21, 2024 13:13:04.861967000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [PSH, ACK] Seq=98305 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
71,Apr 21, 2024 13:13:04.861971000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=761948 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
72,Apr 21, 2024 13:13:04.862007000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=827431 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
73,Apr 21, 2024 13:13:04.862022000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,32834,TCP,1887 → 34935 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3718870649
74,Apr 21, 2024 13:13:04.862041000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=892914 Ack=1 Win=512 Len=65483 TSval=3719264120 TSecr=3719264120
75,Apr 21, 2024 13:13:04.862049000 EDT,127.0.0.1,127.0.0.1,1887,34935,,,,,32834,TCP,1887 → 34935 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3718870649
76,Apr 21, 2024 13:13:04.862067000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,41700,TCP,53923 → 1887 [PSH, ACK] Seq=958397 Ack=1 Win=512 Len=41634 TSval=3719264120 TSecr=3719264120
77,Apr 21, 2024 13:13:04.862069000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=131073 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
78,Apr 21, 2024 13:13:04.862073000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [PSH, ACK] Seq=163841 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
79,Apr 21, 2024 13:13:04.862102000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=196609 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
80,Apr 21, 2024 13:13:04.862105000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [PSH, ACK] Seq=229377 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
81,Apr 21, 2024 13:13:04.862108000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=262145 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
